x_cm,y_cm,z_cm,crack_id,crack_set
4.859581024953725,0.7266120124522976,9.486099399688309,0,1
5.323054830163218,0.8674229158730021,9.290921698256797,0,1
5.372146685486914,0.8442022893736685,9.3579307116082,0,1
4.998863014566885,0.8423649738757863,9.258596610855307,0,1
5.592316009916649,0.9814013004305078,9.103558658274405,0,1
4.679907220979429,0.8778099930644698,9.088613633516918,0,1
5.077849387561228,0.7886225998970459,9.404075790319549,0,1
4.617994613964476,0.9740179338004588,8.850232859772786,0,1
4.683760512974416,1.0539131871277077,8.684780091513147,0,1
5.551214579014722,0.8658758929024399,9.357776067103954,0,1
4.728704168598041,0.9513456928048163,8.93307534559129,0,1
5.00614985238708,0.8317946601685013,9.284921797913816,0,1
4.755949221804983,0.9068978377152848,9.04282986939675,0,1
5.410152535381315,1.130493910245883,8.710222934496983,0,1
5.261952303062658,1.0797382836560399,8.785807456139924,0,1
4.387894421529797,0.844941673275918,9.083173725632161,0,1
4.963861557454942,0.8662274752774063,9.194020816521526,0,1
4.999816983176891,0.7474661920709558,9.477055822323955,0,1
4.691796790281952,1.0891786691226435,8.605925948237124,0,1
5.4522254656148945,0.9996565579610536,9.022720808875325,0,1
4.605354491931416,0.8528259319270045,9.125374999290294,0,1
5.1872002744029935,1.1719671329359593,8.553013560083615,0,1
4.785544036802468,1.0743763505211121,8.665967854889168,0,1
4.455609324251204,0.7696801876464718,9.275003393029317,0,1
4.747576042128366,0.9828983079622141,8.86576402787315,0,1
4.515865975923457,0.9267105727751914,8.930670458932445,0,1
5.475230595335739,1.0556279535479238,8.90041165991058,0,1
5.2214676916598135,1.1844841359830254,8.533740700018106,0,1
5.113800347170267,0.8825345654460959,9.1981238799927,0,1
4.430037452136002,0.8485490548425516,9.086571073234285,0,1
5.412470060978566,0.8439951220041821,9.36959378256927,0,1
5.391471978936997,0.7956334261310692,9.47496325399279,0,1
5.151372995822274,1.1405251158642389,8.615366720101225,0,1
4.6400753814734905,0.9931221934243708,8.812433460907283,0,1
4.441600398957329,0.8301807005978126,9.132012087310256,0,1
5.26865987003916,1.0456602529850596,8.866021693083729,0,1
5.1250881899295155,0.9804975204093789,8.97601561007102,0,1
5.322391561156702,0.7867578644145032,9.476205561989532,0,1
5.29072636611053,0.7644978755883378,9.518601754953487,0,1
4.549086048502922,1.0365822107867313,8.687265900083467,0,1
4.904126044250237,0.7574692866539172,9.427509226836607,0,1
4.459399904953732,0.8445685635276726,9.103869058192023,0,1
5.017395999141659,0.7196907280878931,9.545795000714529,0,1
4.847914857945217,1.0427029885876848,8.756095617100723,0,1
4.443948265878668,0.9039136993406307,8.96313398946365,0,1
5.5086781384486745,0.8387888483847503,9.408254829236435,0,1
5.170167385472711,0.8158254400335325,9.367141475134488,0,1
4.8618539055678,1.042716369934998,8.759931901643869,0,1
5.374695400670134,0.8469962483549035,9.352213823985105,0,1
4.501400204777955,1.017340707195995,8.718277346334853,0,1
4.815973858887556,0.7298233990557987,9.466617915911165,0,1
4.878145264997418,0.6742372575307188,9.611671443790101,0,1
4.482581718961263,1.0149513025089583,8.718550414667227,0,1
5.273010094959988,0.7758611844376908,9.487559892226283,0,1
4.4698216791276595,0.9171773539711573,8.939815689042083,0,1
5.263959248333871,0.9398683105941534,9.107958106285022,0,1
5.350247111395135,0.9186848321718066,9.18060237053476,0,1
5.481197035344533,0.8570210342951118,9.358710790899977,0,1
5.348984118285174,0.8881284382550496,9.25050829966552,0,1
5.171691796129166,1.053092953259648,8.822030726754639,0,1
4.910061483409636,0.8718623831829508,9.166139313260963,0,1
4.997124869213313,0.8130704447055934,9.325469397498788,0,1
4.526542241831267,0.8423246378101168,9.127655386018573,0,1
4.4013987352517425,0.8172139709257765,9.150672661309041,0,1
5.10136502429498,1.1000094940027267,8.694648135516154,0,1
5.278204980500796,1.1613506007269756,8.602670510664199,0,1
5.057638138770695,0.8512945451378219,9.254371167960814,0,1
5.318768802222268,1.161087247956985,8.614529471025174,0,1
4.944708097601342,0.6828303620425179,9.610380128077184,0,1
5.390089921996109,1.0663346513675718,8.85217423140731,0,1
4.6219624069237835,0.9796179839764907,8.838457799164026,0,1
5.596746761773704,1.04329837396144,8.962471974381481,0,1
4.849175202104916,0.8126672372694371,9.285351411615224,0,1
4.808095768385105,1.148860906466786,8.50096682403084,0,1
4.394585365311274,0.9110445362999177,8.933043980857954,0,1
4.8285976528471934,1.1585694747363873,8.484332300271012,0,1
4.402595121186994,0.8384422311078883,9.102195820811508,0,1
4.76424083861564,0.7503404150071986,9.405092409995538,0,1
5.240596256357749,1.1473445464265803,8.62444008406147,0,1
5.100372643429966,0.7618382827828393,9.471907749302018,0,1
5.08713972250859,0.8068926587169623,9.364646018797435,0,1
5.604385726861069,0.9165870368216404,9.25593030203613,0,1
4.92240675860323,0.9528016889463031,8.983465764439929,0,1
5.23427550016711,0.8706455688277861,9.25888238690611,0,1
5.494970438043249,1.1316443024343035,8.73110858731757,0,1
